,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C)
0,2,87,111,3450.01,3454.08,,,-19.476360000000582,27.61636,-0.0028226526879632473,2025-08-29 19:10:00,2025-08-29 21:10:00,0 days 02:00:00,,3450.048,3456.1259999999993
1,2,120,140,3459.53,3461.73,,,-23.285040000000365,27.68504,-0.003365347315964852,2025-08-29 21:55:00,2025-08-29 23:35:00,0 days 01:40:00,,3456.1340000000005,3460.7924999999996
2,2,146,152,3460.8,3458.53,,,-32.217319999999965,27.67732,-0.004654605871474776,2025-08-30 00:05:00,2025-08-30 00:35:00,0 days 00:30:00,,3461.0715000000005,3460.4845
3,2,185,210,3462.1,3462.99,,,-25.920360000000255,27.70036,-0.0037434447300772186,2025-08-30 03:20:00,2025-08-30 05:25:00,0 days 02:05:00,,3457.4849999999997,3462.9659999999994
4,2,238,276,3459.12,3460.24,,,-25.437440000000215,27.677439999999997,-0.00367686579245601,2025-08-30 07:45:00,2025-08-30 10:55:00,0 days 03:10:00,,3456.4275000000002,3462.7955
